DESCRIPTION,TYPE,SOURCE,Power,Rack Mount?,Rack Height / Form factor (u),SERIAL NUMBER,PART #,GFE ASSET ID #,AREA,RM,PROJECT,EXCESS,HDD Barcode Number,"CONDITION CODES",In FTI posession?,In DD1149 from Mantech?,Recommend return to Gov't,New location,Comments,Model,QTY,Location Found,Comments,Confirmed?
APC UPS (possibly APC Smart UPS 3000VA RM),UPS,FECD Project Dayton,"230v, 1500w",Yes,2,WS1236180416,AF465A,GFE-8177,,,,,,,,,,,,,,,,
FGT-100D firewall configured in HA,Firewall,Norfolk LAN,,Yes,1,,,,,,,,,,Yes,,,"FTI CHE server room, wall mounted rack",,,,,,
FGT-100D firewall configured in HA,Firewall,Norfolk LAN,,Yes,1,,,,,,,,,,Yes,,,"FTI CHE server room, wall mounted rack",,,,,,
HP Procurve 3500 48-port PoE switch,Switch,Norfolk LAN,,Yes,1,,,,,,,,,,Yes,,,"FTI CHE server room, wall mounted rack",,,,,,
Xirrus XR 2420 WAP,WIFI,Norfolk LAN,,No,,,,,,,,,,,Yes,,,"FTI CHE server room, wall mounted rack",,,,,,
APC Smart-UPS 750VA,UPS,Norfolk LAN,"110v, 500w",Yes,2,,,,,,,,,,Yes,,,"FTI CHE server room, floor",,,,,,
Dell ,,,,No,56,CN-JX399-15544-735-1724,JX399,,,,,,,,,,,,,7001072-Y000,1,Cabinet,,
Fujitsu,,,,,,DQA3P6901ACP,CA06697-B203000DL,,,,,,,,,,,,,,1,Cabinet,,
4 GB RAM ,RAM,,,,,,X000F57IPB,,,,,,,,,,,,,,26,Cabinet,,
,Laptop,,,Y,,2C42400150,612371-003,,,,,,,,,,,,,,1,HP RACK,Purchased by FTI,
Western Digital 250GB HD,Hard Drive,,,N/A,,WXE708F23768,WD25008EVS-26USTO,,,,,,,,,,,,,,1,Cabinet,,
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM2QHX5,431954-003,,,,,,,,,,,,,,1,Cabinet,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM433BW,431954-003,,,,,,,,,,,,,,,,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM3ZZWY,431954-003,,,,,,,,,,,,,,,,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM7V383,431954-003,,,,,,,,,,,,,,,,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM2HW00,431954-003,,,,,,,,,,,,,,,,,Yes
Toshiba,,,,,,,,,,,,,,,,,,,,,,,,
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,431954-003,3NM14GRF,431954-003,,,,,,,,,,,,,,1,DELL RACK,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,431954-003,3NM4G0HP,431954-003,1,DELL RACK,,,,,,,,,,,,1,DELL RACK,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,431954-003,3NM42SX7,431954-003,1,DELL RACK,,,,,,,,,,,,1,DELL RACK,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM414GW0,431954-003,,,,,,,,,,,,,,1,DELL RACK,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM2W21L,431954-003,,,,,,,,,,,,,,1,DELL RACK,,Yes
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM680Y0,431954-003,,,,,,,,,,,,,,1,DELL RACK,,
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,,N/A,Y,,3NM0W2L0,431954-003,,,,,,,,,,,,,,1,DELL RACK,,
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30366017,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30437398,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW31008799,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30365796,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30335018,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30298382,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30702928,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30302343,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30320004,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30342517,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30373160,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
Western Digital External 1TB HD,Hard Drive,,N/A,Y,,WCAW30289172,WD1003FBYX,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB Hard drive,Hard Drive,,N/A,Y,,PHH648D0D0,365695-009,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB Hard drive,Hard Drive,,N/A,Y,,PHH648D0FA,365695-009,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB Hard drive,Hard Drive,,N/A,Y,,SGE634D2SW,360205-023,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB Hard drive,Hard Drive,,N/A,Y,,SGE634D2TA,360205-023,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB Hard drive,Hard Drive,,N/A,Y,,PHH742D1UD,365695-009,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB Hard drive,Hard Drive,,N/A,Y,,SGE644D0FX,360205-023,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,1,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,2,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,3,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,4,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,5,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,6,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,7,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,8,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,9,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,10,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,11,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,12,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,13,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,14,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,15,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,16,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,17,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,18,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,19,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,20,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,21,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,22,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,23,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,24,599476-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,1,597609-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,2,597609-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,3,597609-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,4,597609-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,5,597609-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,6,597609-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive,Hard Drive,,N/A,Y,,1,507119-004,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 300GB/10K SAS Hard drive - new in bag,Hard Drive,,N/A,Y,,2,507119-004,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,1,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,2,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,3,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,4,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,5,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,6,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,7,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,8,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,9,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,10,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,11,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,12,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HP 500GB/7200K SAS Hard drive,Hard Drive,,N/A,Y,,21,605832-001,,,,,,,,,,,,,,1,DELL RACK,Purchased by FTI,Yes
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD827V9YS,9F6066-035,,,,,,,,,,,,,,,FF085,,Yes
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD732VTWZ,,,,,,,,,,,,,,,,FF081,,
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD750V2P6,,,,,,,,,,,,,,,,FF081,,
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD734VHK7,,,,,,,,,,,,,,,,IN BOX,,
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD734VHB4,,,,,,,,,,,,,,,,IN BOX,,
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD710V8X9,,,,,,,,,,,,,,,,FF085,,Yes
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD703V0DT,,,,,,,,,,,,,,,,FF087,,Yes
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD732VTWU,,,,,,,,,,,,,,,,FF087,,
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD734VHK4,,,,,,,,,,,,,,,,FF086,,Yes
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD826VL54,,,,,,,,,,,,,,,,FF082,,Yes
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD846V17Z,,,,,,,,,,,,,,,,FF082,,
HPQ 146 GB 10K SAS SFF HDD,Hard Drive,HP Enclosure,N/A,Y,,2SD833V597,,,,,,,,,,,,,,,,FF086,,Yes
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907206E,,,,,,,,,,,,,,,,FF093,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907209Y,,,,,,,,,,,,,,,,FF093,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD9072088,,,,,,,,,,,,,,,,FF093,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907208B,,,,,,,,,,,,,,,,FF093,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD9072076,,,,,,,,,,,,,,,,FF093,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907209X,,,,,,,,,,,,,,,,FF093,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD9072079,,,,,,,,,,,,,,,,FF094,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907207V,,,,,,,,,,,,,,,,FF094,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907207F,,,,,,,,,,,,,,,,FF094,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907208M,,,,,,,,,,,,,,,,FF094,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907207G,,,,,,,,,,,,,,,,FF094,,
HPQ 250 GB 5.4K SATA SFF LP HS HDD,Hard Drive,HP Enclosure,N/A,Y,,THD907205Z,,,,,,,,,,,,,,,,FF094,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,
(wattage * .8)/2000 = tonnage of A/C,or ,(wattage * 3.41)/12000 = tonnage of A/C,,,,,,,,,,,,,,,,,,,,,,
need multiple 30a 120v,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total Max UPS wattage: ,"14,080",,,,,,,,,,,,,,,,,,,,,,,
BTUs," 48,012.80 ",,,,,,,,,,,,,,,,,,,,,,,
tonnage needed:,5.632,4.001066667,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
